,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
66,006wz,2r5/4ppkp/5bp1/1p6/1P6/P3B3/2r2PPP/1R1R2K1 b - - 2 22,f6b2 b1b2 c2b2 e3d4 f7f6 d4b2,1466,76,73,519,attraction crushing endgame fork long sacrifice,https://lichess.org/qT0W6o27/black#44
67,006x0,3Q4/5kr1/8/1P2pB2/2Pp1n2/q2P3P/7K/5R2 w - - 7 49,d8d7 f7f6 d7d8 f6f5,1341,193,100,13,defensiveMove endgame equality short,https://lichess.org/yJzYpNj0#97
68,006yP,6R1/8/Kpk1p3/1p1pP3/6P1/PPP1r3/8/8 b - - 3 40,e3c3 g8c8 c6d7 c8c3,806,81,80,131,crushing endgame master rookEndgame short skewer,https://lichess.org/vf9MOLH1/black#80
69,00761,3r2k1/1b3pbR/p2P2P1/3p2N1/2p5/2P2N2/PP6/2K5 b - - 0 28,f7g6 h7g7 g8g7 g5e6 g7g8 e6d8,1490,76,95,10664,attraction crushing endgame exposedKing fork long sacrifice,https://lichess.org/vu70Maig/black#56
70,0078T,rk5r/1b3R2/pp2p2q/4P2p/B2p3B/4R2P/PP4P1/5Q1K b - - 0 27,d4e3 f7b7 b8b7 f1f7 b7b8 h4e7,2286,80,80,77,attraction crushing defensiveMove exposedKing long middlegame queensideAttack sacrifice,https://lichess.org/mXf4gFYU/black#54
71,007Rn,4r1k1/p4p1p/1p6/6q1/3P2n1/P4Q2/1P1B2P1/7K w - - 0 34,d2g5 e8e1 f3f1 e1f1,994,81,75,72,endgame mate mateIn2 short,https://lichess.org/L9kH7FqT#67
72,007eS,6k1/p4p2/1p5p/4r3/P3B3/1P3P2/2PK2PP/8 w - - 0 29,d2e3 f7f5 g2g4 f5e4,1230,75,99,5152,advantage endgame short,https://lichess.org/8qs8bafy#57
73,007gO,2r3rk/5p2/4p2p/4q3/1Q6/8/1P3PPP/R4RK1 w - - 0 31,a1c1 e5g5 g2g3 c8c1,2177,86,76,43,crushing endgame short,https://lichess.org/id1brvZc#61
74,007ku,r1bq3Q/1np2kp1/p5B1/1p1Pp3/1Pn2BP1/2b2P2/P3K3/R4N2 b - - 5 35,f7g6 h8h5 g6f6 f4g5,1700,74,94,803,mate mateIn2 middlegame short,https://lichess.org/QveLbBjG/black#70
75,0088O,7Q/2p5/1p2prp1/p4k1p/P4p1P/8/6RK/3q4 b - - 2 37,d1a4 g2g5 f5e4 h8f6,1008,76,100,160,crushing deflection endgame short,https://lichess.org/GmH1DPx6/black#74
76,008GK,1k1r4/ppp3p1/8/1P5p/8/P3n2P/2P1r1P1/B3NRK1 b - - 4 31,d8d1 f1f8 d1d8 f8d8,600,84,97,1048,backRankMate endgame mate mateIn2 short,https://lichess.org/9vFFDYsH/black#62
77,008LT,r4rk1/6p1/b3p1nN/p1pp4/1p3P1q/3P1Q1B/PPP2PK1/R6R b - - 0 26,g8h8 h6f7 f8f7 h3e6,1752,101,100,43,crushing kingsideAttack middlegame pin sacrifice short,https://lichess.org/vnxisKeU/black#52
78,008Nz,6k1/2p2ppp/pnp5/B7/2P3PP/1P1bPPR1/r6r/3R2K1 b - - 1 29,d3e2 d1d8,622,101,90,414,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/HNU4zavC/black#58
79,008P4,8/4k3/1p1p4/rP2p1p1/P2nP1P1/3BK3/8/R7 w - - 0 35,e3d2 d4b3 d2c3 b3a1,795,77,96,1227,crushing endgame fork short,https://lichess.org/3GoHPRp3#69
80,008Sk,8/6pp/3Bp2k/p2pP2P/P2bp1PK/8/r7/5R2 b - - 2 37,d4f2 f1f2 g7g5 h4g3 a2f2 g3f2,1950,80,94,8139,crushing endgame long,https://lichess.org/rah6MiKa/black#74
81,008lc,7k/pb1qn2n/1p2R2Q/2p2p2/2Pp4/3B4/PP3PrP/4RK2 b - - 1 27,g2g7 h6g7 h8g7 e6e7 d7e7 e1e7,1831,76,93,1026,attraction crushing exposedKing fork long middlegame,https://lichess.org/UdZXrVA5/black#54
82,008nF,2rq1rk1/7p/1n4pb/1R2p3/pPpP1P2/P1B5/3NQ1PP/2R3K1 w - - 0 31,e2e5 f8e8 e5e8 d8e8,2241,75,90,451,crushing master middlegame short trappedPiece,https://lichess.org/tYO5rrIU#61
83,008o6,Q5k1/p1p3p1/5rP1/8/3P4/7P/q3r3/B4RK1 b - - 1 34,f6f8 a8f8,1017,206,100,24,endgame mate mateIn1 oneMove,https://lichess.org/1k4lXfEi/black#68
84,008oX,4r1k1/2R3pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1N4 b - - 3 32,e8e1 c7c8 e1e8 c8e8,974,75,68,216,endgame mate mateIn2 short,https://lichess.org/APGKH8YH/black#64
85,008tL,8/7k/pR5p/3p4/5r2/2P1p2P/P5P1/6K1 w - - 0 40,b6a6 e3e2 a6e6 f4f1,1058,75,97,2044,advancedPawn crushing endgame master rookEndgame short,https://lichess.org/yhNupFCi#79
86,0092z,2r3k1/2qR1ppp/p7/2p2Q2/P7/7P/5PP1/6K1 b - - 3 26,c7c6 f5f7 g8h8 f7g7,1088,80,94,370,endgame mate mateIn2 short,https://lichess.org/fjaha7q0/black#52
87,009De,r1q4r/2p1kP2/3p4/2pPp3/p1P1Pb2/P1NB3b/1P3KP1/R2Q1R2 w - - 1 23,g2h3 c8h3 d1f3 h3h2 f3g2 f4e3 f2f3 h8h3 g2h3 h2h3,2000,82,79,46,advantage exposedKing middlegame veryLong,https://lichess.org/PsMgMg87#45
88,009IO,3rk3/5p1r/p2Np1p1/3bP3/P2n4/8/1P3RPP/5RK1 b - - 4 25,e8e7 f2f7 h7f7 f1f7,1174,80,87,529,hookMate mate mateIn2 middlegame short,https://lichess.org/LJBrm9Or/black#50
